n,perspective,condition,flood_1,wind_1,flood_2,wind_2,decision,forced_decision,prior
11,self,worse,12,120,16,140,Evacuate,Stay,with
11,self,worse,12,120,20,145,Evacuate,Stay,without
11,self,worse,12,120,16,140,Evacuate,Evacuate,with
11,self,worse,12,120,18,145,Evacuate,Evacuate,without
12,self,worse,12,120,16,140,Evacuate,Stay,with
12,self,worse,12,120,18,145,Evacuate,Stay,without
12,self,worse,12,120,16,140,Evacuate,Evacuate,with
12,self,worse,12,120,18,145,Evacuate,Evacuate,without
13,self,worse,12,120,16,140,Evacuate,Stay,with
13,self,worse,12,120,16,140,Evacuate,Stay,without
13,self,worse,12,120,16,140,Evacuate,Evacuate,with
13,self,worse,12,120,18,145,Evacuate,Evacuate,without
14,self,worse,12,120,16,140,Evacuate,Stay,with
14,self,worse,12,120,16,140,Evacuate,Stay,without
14,self,worse,12,120,16,140,Evacuate,Evacuate,with
14,self,worse,12,120,16,140,Evacuate,Evacuate,without
15,self,worse,12,120,16,140,Evacuate,Stay,with
15,self,worse,12,120,16,140,Evacuate,Stay,without
15,self,worse,12,120,16,140,Evacuate,Evacuate,with
15,self,worse,12,120,18,145,Evacuate,Evacuate,without
16,self,worse,12,120,16,140,Evacuate,Stay,with
16,self,worse,12,120,16,140,Evacuate,Stay,without
16,self,worse,12,120,16,140,Evacuate,Evacuate,with
16,self,worse,12,120,18,145,Evacuate,Evacuate,without
17,self,worse,12,120,16,140,Evacuate,Stay,with
17,self,worse,12,120,16,140,Evacuate,Stay,without
17,self,worse,12,120,16,140,Evacuate,Evacuate,with
17,self,worse,12,120,18,145,Evacuate,Evacuate,without
18,self,worse,12,120,16,140,Evacuate,Stay,with
18,self,worse,12,120,16,140,Evacuate,Stay,without
18,self,worse,12,120,16,140,Evacuate,Evacuate,with
18,self,worse,12,120,16,140,Evacuate,Evacuate,without
19,self,worse,12,120,16,140,Evacuate,Stay,with
19,self,worse,12,120,16,140,Evacuate,Stay,without
19,self,worse,12,120,16,140,Evacuate,Evacuate,with
19,self,worse,12,120,16,140,Evacuate,Evacuate,without
20,self,worse,12,120,16,140,Evacuate,Stay,with
20,self,worse,12,120,16,140,Evacuate,Stay,without
20,self,worse,12,120,16,140,Evacuate,Evacuate,with
20,self,worse,12,120,16,140,Evacuate,Evacuate,without
11,self,better,12,120,8,100,Evacuate,Stay,with
11,self,better,12,120,8,100,Evacuate,Stay,without
11,self,better,12,120,8,100,Evacuate,Evacuate,with
11,self,better,12,120,8,100,Evacuate,Evacuate,without
12,self,better,12,120,8,100,Evacuate,Stay,with
12,self,better,12,120,8,100,Evacuate,Stay,without
12,self,better,12,120,8,100,Evacuate,Evacuate,with
12,self,better,12,120,8,100,Evacuate,Evacuate,without
13,self,better,12,120,8,100,Evacuate,Stay,with
13,self,better,12,120,8,100,Evacuate,Stay,without
13,self,better,12,120,8,100,Evacuate,Evacuate,with
13,self,better,12,120,8,100,Evacuate,Evacuate,without
14,self,better,12,120,8,100,Evacuate,Stay,with
14,self,better,12,120,8,100,Evacuate,Stay,without
14,self,better,12,120,8,100,Evacuate,Evacuate,with
14,self,better,12,120,8,100,Evacuate,Evacuate,without
15,self,better,12,120,8,100,Evacuate,Stay,with
15,self,better,12,120,8,100,Evacuate,Stay,without
15,self,better,12,120,8,100,Evacuate,Evacuate,with
15,self,better,12,120,8,100,Evacuate,Evacuate,without
16,self,better,12,120,8,100,Evacuate,Stay,with
16,self,better,12,120,8,100,Evacuate,Stay,without
16,self,better,12,120,8,100,Evacuate,Evacuate,with
16,self,better,12,120,8,100,Evacuate,Evacuate,without
17,self,better,12,120,8,100,Evacuate,Stay,with
17,self,better,12,120,8,100,Evacuate,Stay,without
17,self,better,12,120,8,100,Evacuate,Evacuate,with
17,self,better,12,120,8,100,Evacuate,Evacuate,without
18,self,better,12,120,8,100,Evacuate,Stay,with
18,self,better,12,120,8,100,Evacuate,Stay,without
18,self,better,12,120,8,100,Evacuate,Evacuate,with
18,self,better,12,120,8,100,Evacuate,Evacuate,without
19,self,better,12,120,8,100,Evacuate,Stay,with
19,self,better,12,120,8,100,Evacuate,Stay,without
19,self,better,12,120,8,100,Evacuate,Evacuate,with
19,self,better,12,120,8,100,Evacuate,Evacuate,without
20,self,better,12,120,8,100,Evacuate,Stay,with
20,self,better,12,120,8,100,Evacuate,Stay,without
20,self,better,12,120,8,100,Evacuate,Evacuate,with
20,self,better,12,120,8,100,Evacuate,Evacuate,without
11,self,uncertainty,12,120,16,140,Evacuate,Stay,with
11,self,uncertainty,12,120,16,140,Evacuate,Stay,without
11,self,uncertainty,12,120,16,140,Evacuate,Evacuate,with
11,self,uncertainty,12,120,16,140,Evacuate,Evacuate,without
12,self,uncertainty,12,120,16,140,Evacuate,Stay,with
12,self,uncertainty,12,120,16,140,Evacuate,Stay,without
12,self,uncertainty,12,120,16,140,Evacuate,Evacuate,with
12,self,uncertainty,12,120,16,140,Evacuate,Evacuate,without
13,self,uncertainty,12,120,16,140,Evacuate,Stay,with
13,self,uncertainty,12,120,16,140,Evacuate,Stay,without
13,self,uncertainty,12,120,16,140,Evacuate,Evacuate,with
13,self,uncertainty,12,120,16,140,Evacuate,Evacuate,without
14,self,uncertainty,12,120,16,140,Evacuate,Stay,with
14,self,uncertainty,12,120,16,140,Evacuate,Stay,without
14,self,uncertainty,12,120,16,140,Evacuate,Evacuate,with
14,self,uncertainty,12,120,16,140,Evacuate,Evacuate,without
15,self,uncertainty,12,120,16,140,Evacuate,Stay,with
15,self,uncertainty,12,120,16,140,Evacuate,Stay,without
15,self,uncertainty,12,120,16,140,Evacuate,Evacuate,with
15,self,uncertainty,12,120,16,140,Evacuate,Evacuate,without
16,self,uncertainty,12,120,16,140,Evacuate,Stay,with
16,self,uncertainty,12,120,16,140,Evacuate,Stay,without
16,self,uncertainty,12,120,16,140,Evacuate,Evacuate,with
16,self,uncertainty,12,120,16,140,Evacuate,Evacuate,without
17,self,uncertainty,12,120,16,140,Evacuate,Stay,with
17,self,uncertainty,12,120,16,140,Evacuate,Stay,without
17,self,uncertainty,12,120,16,140,Evacuate,Evacuate,with
17,self,uncertainty,12,120,16,140,Evacuate,Evacuate,without
18,self,uncertainty,12,120,16,140,Evacuate,Stay,with
18,self,uncertainty,12,120,16,140,Evacuate,Stay,without
18,self,uncertainty,12,120,16,140,Evacuate,Evacuate,with
18,self,uncertainty,12,120,16,140,Evacuate,Evacuate,without
19,self,uncertainty,12,120,16,140,Evacuate,Stay,with
19,self,uncertainty,12,120,16,140,Evacuate,Stay,without
19,self,uncertainty,12,120,16,140,Evacuate,Evacuate,with
19,self,uncertainty,12,120,16,140,Evacuate,Evacuate,without
20,self,uncertainty,12,120,16,140,Evacuate,Stay,with
20,self,uncertainty,12,120,16,140,Evacuate,Stay,without
20,self,uncertainty,12,120,16,140,Evacuate,Evacuate,with
20,self,uncertainty,12,120,16,140,Evacuate,Evacuate,without
11,self,utility,12,120,16,140,Evacuate,Stay,with
11,self,utility,12,120,16,140,Evacuate,Stay,without
11,self,utility,12,120,16,140,Evacuate,Evacuate,with
11,self,utility,12,120,16,140,Evacuate,Evacuate,without
12,self,utility,12,120,16,140,Evacuate,Stay,with
12,self,utility,12,120,20,140,Evacuate,Stay,without
12,self,utility,12,120,16,140,Evacuate,Evacuate,with
12,self,utility,12,120,16,140,Evacuate,Evacuate,without
13,self,utility,12,120,16,140,Evacuate,Stay,with
13,self,utility,12,120,16,140,Evacuate,Stay,without
13,self,utility,12,120,16,140,Evacuate,Evacuate,with
13,self,utility,12,120,16,140,Evacuate,Evacuate,without
14,self,utility,12,120,16,140,Evacuate,Stay,with
14,self,utility,12,120,16,140,Evacuate,Stay,without
14,self,utility,12,120,16,140,Evacuate,Evacuate,with
14,self,utility,12,120,16,140,Evacuate,Evacuate,without
15,self,utility,12,120,16,140,Evacuate,Stay,with
15,self,utility,12,120,16,140,Evacuate,Stay,without
15,self,utility,12,120,16,140,Evacuate,Evacuate,with
15,self,utility,12,120,16,140,Evacuate,Evacuate,without
16,self,utility,12,120,16,140,Evacuate,Stay,with
16,self,utility,12,120,16,140,Evacuate,Stay,without
16,self,utility,12,120,16,140,Evacuate,Evacuate,with
16,self,utility,12,120,16,140,Evacuate,Evacuate,without
17,self,utility,12,120,16,140,Evacuate,Stay,with
17,self,utility,12,120,16,140,Evacuate,Stay,without
17,self,utility,12,120,16,140,Evacuate,Evacuate,with
17,self,utility,12,120,16,140,Evacuate,Evacuate,without
18,self,utility,12,120,16,140,Evacuate,Stay,with
18,self,utility,12,120,18,145,Evacuate,Stay,without
18,self,utility,12,120,16,140,Evacuate,Evacuate,with
18,self,utility,12,120,16,140,Evacuate,Evacuate,without
19,self,utility,12,120,16,140,Evacuate,Stay,with
19,self,utility,12,120,18,145,Evacuate,Stay,without
19,self,utility,12,120,16,140,Evacuate,Evacuate,with
19,self,utility,12,120,16,140,Evacuate,Evacuate,without
20,self,utility,12,120,16,140,Evacuate,Stay,with
20,self,utility,12,120,18,145,Evacuate,Stay,without
20,self,utility,12,120,16,140,Evacuate,Evacuate,with
20,self,utility,12,120,16,140,Evacuate,Evacuate,without
11,roleplay,worse,15,130,20,150,Evacuate,Stay,with
11,roleplay,worse,15,130,18,145,Evacuate,Stay,without
11,roleplay,worse,15,130,20,150,Evacuate,Evacuate,with
11,roleplay,worse,15,130,18,145,Evacuate,Evacuate,without
12,roleplay,worse,12,120,16,140,Evacuate,Stay,with
12,roleplay,worse,12,120,18,145,Evacuate,Stay,without
12,roleplay,worse,12,120,16,140,Evacuate,Evacuate,with
12,roleplay,worse,12,120,18,145,Evacuate,Evacuate,without
13,roleplay,worse,15,130,20,145,Evacuate,Stay,with
13,roleplay,worse,15,130,18,145,Evacuate,Stay,without
13,roleplay,worse,15,130,20,150,Evacuate,Evacuate,with
13,roleplay,worse,15,130,18,145,Evacuate,Evacuate,without
14,roleplay,worse,14,130,18,145,Evacuate,Stay,with
14,roleplay,worse,14,130,18,145,Evacuate,Stay,without
14,roleplay,worse,14,130,18,145,Evacuate,Evacuate,with
14,roleplay,worse,14,130,18,145,Evacuate,Evacuate,without
15,roleplay,worse,12,120,16,140,Evacuate,Stay,with
15,roleplay,worse,12,120,18,145,Evacuate,Stay,without
15,roleplay,worse,12,120,16,140,Evacuate,Evacuate,with
15,roleplay,worse,12,120,18,145,Evacuate,Evacuate,without
16,roleplay,worse,14,130,18,145,Evacuate,Stay,with
16,roleplay,worse,14,130,18,145,Evacuate,Stay,without
16,roleplay,worse,14,130,18,145,Evacuate,Evacuate,with
16,roleplay,worse,14,130,18,145,Evacuate,Evacuate,without
17,roleplay,worse,12,120,16,140,Evacuate,Stay,with
17,roleplay,worse,12,120,18,145,Evacuate,Stay,without
17,roleplay,worse,12,120,16,140,Evacuate,Evacuate,with
17,roleplay,worse,12,120,18,145,Evacuate,Evacuate,without
18,roleplay,worse,12,120,16,140,Evacuate,Stay,with
18,roleplay,worse,12,120,16,140,Evacuate,Stay,without
18,roleplay,worse,12,120,16,140,Evacuate,Evacuate,with
18,roleplay,worse,12,120,18,145,Evacuate,Evacuate,without
19,roleplay,worse,14,130,18,150,Evacuate,Stay,with
19,roleplay,worse,14,130,18,145,Evacuate,Stay,without
19,roleplay,worse,14,130,18,145,Evacuate,Evacuate,with
19,roleplay,worse,14,130,18,145,Evacuate,Evacuate,without
20,roleplay,worse,12,120,16,140,Evacuate,Stay,with
20,roleplay,worse,12,120,18,145,Evacuate,Stay,without
20,roleplay,worse,12,120,16,140,Evacuate,Evacuate,with
20,roleplay,worse,12,120,20,145,Evacuate,Evacuate,without
11,roleplay,better,12,120,8,100,Evacuate,Stay,with
11,roleplay,better,12,120,8,100,Evacuate,Stay,without
11,roleplay,better,12,120,8,100,Evacuate,Evacuate,with
11,roleplay,better,12,120,8,100,Evacuate,Evacuate,without
12,roleplay,better,14,125,10,105,Evacuate,Stay,with
12,roleplay,better,14,125,8,100,Evacuate,Stay,without
12,roleplay,better,14,125,10,105,Evacuate,Evacuate,with
12,roleplay,better,14,125,8,100,Evacuate,Evacuate,without
13,roleplay,better,14,130,10,105,Evacuate,Stay,with
13,roleplay,better,14,130,8,100,Evacuate,Stay,without
13,roleplay,better,14,130,10,105,Evacuate,Evacuate,with
13,roleplay,better,14,130,8,100,Evacuate,Evacuate,without
14,roleplay,better,10,120,8,100,Evacuate,Stay,with
14,roleplay,better,10,120,8,100,Evacuate,Stay,without
14,roleplay,better,10,120,8,100,Evacuate,Evacuate,with
14,roleplay,better,10,120,8,100,Evacuate,Evacuate,without
15,roleplay,better,12,120,8,100,Evacuate,Stay,with
15,roleplay,better,12,120,8,100,Evacuate,Stay,without
15,roleplay,better,12,120,8,100,Evacuate,Evacuate,with
15,roleplay,better,12,120,6,100,Evacuate,Evacuate,without
16,roleplay,better,12,120,8,100,Evacuate,Stay,with
16,roleplay,better,12,120,8,100,Evacuate,Stay,without
16,roleplay,better,12,120,8,100,Evacuate,Evacuate,with
16,roleplay,better,12,120,8,100,Evacuate,Evacuate,without
17,roleplay,better,18,135,10,110,Evacuate,Stay,with
17,roleplay,better,18,135,8,100,Evacuate,Stay,without
17,roleplay,better,18,135,12,110,Evacuate,Evacuate,with
17,roleplay,better,18,135,8,100,Evacuate,Evacuate,without
18,roleplay,better,12,120,8,100,Evacuate,Stay,with
18,roleplay,better,12,120,8,100,Evacuate,Stay,without
18,roleplay,better,12,120,8,100,Evacuate,Evacuate,with
18,roleplay,better,12,120,8,100,Evacuate,Evacuate,without
19,roleplay,better,12,120,8,100,Evacuate,Stay,with
19,roleplay,better,12,120,8,100,Evacuate,Stay,without
19,roleplay,better,12,120,8,100,Evacuate,Evacuate,with
19,roleplay,better,12,120,8,100,Evacuate,Evacuate,without
20,roleplay,better,12,120,8,100,Evacuate,Stay,with
20,roleplay,better,12,120,8,100,Evacuate,Stay,without
20,roleplay,better,12,120,8,100,Evacuate,Evacuate,with
20,roleplay,better,12,120,8,100,Evacuate,Evacuate,without
11,roleplay,uncertainty,14,125,16,145,Evacuate,Stay,with
11,roleplay,uncertainty,14,125,16,140,Evacuate,Stay,without
11,roleplay,uncertainty,14,125,16,140,Evacuate,Evacuate,with
11,roleplay,uncertainty,14,125,16,140,Evacuate,Evacuate,without
12,roleplay,uncertainty,14,130,16,145,Evacuate,Stay,with
12,roleplay,uncertainty,14,130,16,140,Evacuate,Stay,without
12,roleplay,uncertainty,14,130,16,140,Evacuate,Evacuate,with
12,roleplay,uncertainty,14,130,16,140,Evacuate,Evacuate,without
13,roleplay,uncertainty,12,120,16,140,Evacuate,Stay,with
13,roleplay,uncertainty,12,120,16,140,Evacuate,Stay,without
13,roleplay,uncertainty,12,120,16,140,Evacuate,Evacuate,with
13,roleplay,uncertainty,12,120,16,140,Evacuate,Evacuate,without
14,roleplay,uncertainty,14,130,16,140,Evacuate,Stay,with
14,roleplay,uncertainty,14,130,16,140,Evacuate,Stay,without
14,roleplay,uncertainty,14,130,16,140,Evacuate,Evacuate,with
14,roleplay,uncertainty,14,130,16,140,Evacuate,Evacuate,without
15,roleplay,uncertainty,12,120,16,140,Evacuate,Stay,with
15,roleplay,uncertainty,12,120,16,140,Evacuate,Stay,without
15,roleplay,uncertainty,12,120,16,140,Evacuate,Evacuate,with
15,roleplay,uncertainty,12,120,16,140,Evacuate,Evacuate,without
16,roleplay,uncertainty,12,120,16,140,Evacuate,Stay,with
16,roleplay,uncertainty,12,120,16,140,Evacuate,Stay,without
16,roleplay,uncertainty,12,120,16,140,Evacuate,Evacuate,with
