n,perspective,condition,flood_1,wind_1,flood_2,wind_2,decision,forced_decision,prior
11,self,worse,8,120,16,140,Evacuate,Stay,with
11,self,worse,8,120,24,160,Evacuate,Stay,without
11,self,worse,8,120,16,140,Evacuate,Evacuate,with
11,self,worse,8,120,24,160,Evacuate,Evacuate,without
12,self,worse,4,120,8,160,Stay,Stay,with
12,self,worse,4,120,24,160,Evacuate,Stay,without
12,self,worse,4,120,8,160,Stay,Evacuate,with
12,self,worse,4,120,24,160,Evacuate,Evacuate,without
13,self,worse,4,120,16,140,Stay,Stay,with
13,self,worse,4,120,24,160,Evacuate,Stay,without
13,self,worse,4,120,12,140,Stay,Evacuate,with
13,self,worse,4,120,16,140,Evacuate,Evacuate,without
14,self,worse,4,120,8,140,Evacuate,Stay,with
14,self,worse,4,120,24,140,Evacuate,Stay,without
14,self,worse,4,120,8,140,Evacuate,Evacuate,with
14,self,worse,4,120,24,160,Evacuate,Evacuate,without
15,self,worse,4,120,12,160,Evacuate,Stay,with
15,self,worse,4,120,24,160,"Evacuate
The uncertainty in the hurricane's impacts, coupled with the potential for 120 mph winds and 20 inches of flooding, makes it too risky to stay in the one-story, single-detached house. The prudent move would be to evacuate to a safer location.",Stay,without
15,self,worse,4,120,12,140,Evacuate,Evacuate,with
15,self,worse,4,120,24,140,"Evacuate
The uncertainty in the hurricane's impacts, coupled with the potential for 120 mph winds and 20 inches of flooding, makes it too risky to stay in the one-story, single-detached house. The prudent move would be to evacuate to a safer location.",Evacuate,without
11,self,better,4,120,-2,140,Evacuate,Stay,with
11,self,better,4,120,10,140,Evacuate,Stay,without
11,self,better,4,120,2,100,Evacuate,Evacuate,with
11,self,better,4,120,8,100,Evacuate,Evacuate,without
12,self,better,4,120,7,100,Evacuate,Stay,with
12,self,better,4,120,6,100,Evacuate,Stay,without
12,self,better,4,120,7,100,Evacuate,Evacuate,with
12,self,better,4,120,10,100,Evacuate,Evacuate,without
13,self,better,4,120,7,100,Stay,Stay,with
13,self,better,4,120,6,100,Evacuate,Stay,without
13,self,better,4,120,7,100,Stay,Evacuate,with
13,self,better,4,120,6,100,Evacuate,Evacuate,without
14,self,better,4,120,7,100,Evacuate,Stay,with
14,self,better,4,120,8,100,Evacuate,Stay,without
14,self,better,4,120,7,100,Evacuate,Evacuate,with
14,self,better,4,120,8,100,Evacuate,Evacuate,without
15,self,better,4,120,2,100,Evacuate,Stay,with
15,self,better,4,120,8,100,Evacuate,Stay,without
