n,perspective,condition,flood_1,wind_1,flood_2,wind_2,decision,forced_decision,prior
16,self,worse,4,120,8,140,Evacuate,Stay,with
16,self,worse,4,120,24,160,Evacuate,Stay,without
16,self,worse,4,120,24,140,Evacuate,Evacuate,with
16,self,worse,4,120,24,160,Evacuate,Evacuate,without
17,self,worse,8,120,12,140,Evacuate,Stay,with
17,self,worse,8,120,24,140,Evacuate,Stay,without
17,self,worse,8,120,16,140,Evacuate,Evacuate,with
17,self,worse,8,120,24,160,Evacuate,Evacuate,without
18,self,worse,4,120,12,140,Evacuate,Stay,with
18,self,worse,4,120,24,140,Evacuate,Stay,without
18,self,worse,4,120,16,140,Evacuate,Evacuate,with
18,self,worse,4,120,24,160,Evacuate,Evacuate,without
19,self,worse,4,120,8,160,Evacuate,Stay,with
19,self,worse,4,120,24,160,Evacuate,Stay,without
19,self,worse,4,120,8,160,Evacuate,Evacuate,with
19,self,worse,4,120,24,160,Evacuate,Evacuate,without
20,self,worse,4,120,12,140,Evacuate,Stay,with
20,self,worse,4,120,24,160,Evacuate,Stay,without
20,self,worse,4,120,16,140,Evacuate,Evacuate,with
20,self,worse,4,120,24,160,Evacuate,Evacuate,without
16,self,better,4,120,2,160,Stay,Stay,with
16,self,better,4,120,10,160,Evacuate,Stay,without
16,self,better,4,120,2,100,Stay,Evacuate,with
16,self,better,4,120,6,100,Evacuate,Evacuate,without
17,self,better,12,120,8,100,Stay,Stay,with
17,self,better,12,120,10,100,Evacuate,Stay,without
17,self,better,12,120,14,80,Stay,Evacuate,with
17,self,better,12,120,6,100,Evacuate,Evacuate,without
18,self,better,4,120,2,100,Evacuate,Stay,with
18,self,better,4,120,6,100,Evacuate,Stay,without
18,self,better,4,120,2,100,Evacuate,Evacuate,with
18,self,better,4,120,6,100,Evacuate,Evacuate,without
19,self,better,8,120,7,100,Evacuate,Stay,with
19,self,better,8,120,2,80,Evacuate,Stay,without
19,self,better,8,120,7,100,Evacuate,Evacuate,with
19,self,better,8,120,6,100,Evacuate,Evacuate,without
20,self,better,12,150,8,110,Evacuate,Stay,with
20,self,better,12,150,10,110,Evacuate,Stay,without
20,self,better,12,150,10,100,Evacuate,Evacuate,with
20,self,better,12,150,8,100,Evacuate,Evacuate,without
16,self,uncertainty,4,120,16,140,Stay,Stay,with
16,self,uncertainty,4,120,18,145,Evacuate,Stay,without
16,self,uncertainty,4,120,14,145,Stay,Evacuate,with
16,self,uncertainty,4,120,18,145,Evacuate,Evacuate,without
17,self,uncertainty,8,120,16,145,Evacuate,Stay,with
17,self,uncertainty,8,120,18,150,Evacuate,Stay,without
17,self,uncertainty,8,120,16,140,Evacuate,Evacuate,with
17,self,uncertainty,8,120,16,145,Evacuate,Evacuate,without
18,self,uncertainty,8,120,16,145,Evacuate,Stay,with
18,self,uncertainty,8,120,18,145,Evacuate,Stay,without
18,self,uncertainty,8,120,16,140,Evacuate,Evacuate,with
18,self,uncertainty,8,120,18,145,Evacuate,Evacuate,without
19,self,uncertainty,8,120,16,140,Stay,Stay,with
19,self,uncertainty,8,120,18,150,Evacuate,Stay,without
19,self,uncertainty,8,120,16,140,Stay,Evacuate,with
19,self,uncertainty,8,120,18,150,Evacuate,Evacuate,without
20,self,uncertainty,4,120,14,145,Evacuate,Stay,with
20,self,uncertainty,4,120,18,145,Evacuate,Stay,without
20,self,uncertainty,4,120,16,140,Evacuate,Evacuate,with
20,self,uncertainty,4,120,18,145,Evacuate,Evacuate,without
16,self,utility,4,120,16,140,Evacuate,Stay,with
16,self,utility,4,120,24,160,Evacuate,Stay,without
16,self,utility,4,120,24,140,Evacuate,Evacuate,with
16,self,utility,4,120,24,140,Evacuate,Evacuate,without
17,self,utility,8,120,16,140,Evacuate,Stay,with
17,self,utility,8,120,20,140,Evacuate,Stay,without
17,self,utility,8,120,20,140,Evacuate,Evacuate,with
17,self,utility,8,120,24,160,Evacuate,Evacuate,without
18,self,utility,8,120,16,140,Evacuate,Stay,with
18,self,utility,8,120,24,160,Evacuate,Stay,without
18,self,utility,8,120,16,140,Evacuate,Evacuate,with
18,self,utility,8,120,24,160,Evacuate,Evacuate,without
19,self,utility,8,120,16,140,Evacuate,Stay,with
19,self,utility,8,120,24,160,Evacuate,Stay,without
19,self,utility,8,120,16,140,Evacuate,Evacuate,with
19,self,utility,8,120,24,160,Evacuate,Evacuate,without
20,self,utility,8,120,16,140,Evacuate,Stay,with
20,self,utility,8,120,16,140,Evacuate,Stay,without
20,self,utility,8,120,16,140,Evacuate,Evacuate,with
20,self,utility,8,120,24,160,Evacuate,Evacuate,without
16,roleplay,worse,4,120,12,140,Evacuate,Stay,with
16,roleplay,worse,4,120,16,140,Evacuate,Stay,without
16,roleplay,worse,4,120,24,140,Evacuate,Evacuate,with
16,roleplay,worse,4,120,24,160,Evacuate,Evacuate,without
17,roleplay,worse,4,120,16,140,Evacuate,Stay,with
17,roleplay,worse,4,120,16,140,Evacuate,Stay,without
17,roleplay,worse,4,120,12,140,Evacuate,Evacuate,with
17,roleplay,worse,4,120,24,140,Evacuate,Evacuate,without
18,roleplay,worse,20,120,24,140,Evacuate,Stay,with
18,roleplay,worse,20,120,24,160,Evacuate,Stay,without
