n,perspective,condition,flood_1,wind_1,flood_2,wind_2,decision,forced_decision,prior
6,self,worse,8,120,16,140,Evacuate,Stay,with
6,self,worse,8,120,24,160,"Evacuate


#",Stay,without
6,self,worse,8,120,16,140,Evacuate,Evacuate,with
6,self,worse,8,120,24,160,"Evacuate


#",Evacuate,without
7,self,worse,4,120,12,140,Evacuate,Stay,with
7,self,worse,4,120,24,160,Evacuate,Stay,without
7,self,worse,4,120,12,140,Evacuate,Evacuate,with
7,self,worse,4,120,16,140,Evacuate,Evacuate,without
8,self,worse,4,120,8,160,Evacuate,Stay,with
8,self,worse,4,120,24,160,Evacuate,Stay,without
8,self,worse,4,120,8,160,Evacuate,Evacuate,with
8,self,worse,4,120,24,160,Evacuate,Evacuate,without
9,self,worse,8,120,16,140,Evacuate,Stay,with
9,self,worse,8,120,24,160,Evacuate,Stay,without
9,self,worse,8,120,16,140,Evacuate,Evacuate,with
9,self,worse,8,120,24,160,Evacuate,Evacuate,without
10,self,worse,12,120,16,140,Evacuate,Stay,with
10,self,worse,12,120,24,160,Stay,Stay,without
10,self,worse,12,120,24,140,Evacuate,Evacuate,with
10,self,worse,12,120,24,140,Stay,Evacuate,without
6,self,better,8,120,7,100,Evacuate,Stay,with
6,self,better,8,120,6,100,Evacuate,Stay,without
6,self,better,8,120,10,100,Evacuate,Evacuate,with
6,self,better,8,120,8,100,Evacuate,Evacuate,without
7,self,better,4,120,2,100,Evacuate,Stay,with
7,self,better,4,120,6,100,Evacuate,Stay,without
7,self,better,4,120,2,100,Evacuate,Evacuate,with
7,self,better,4,120,6,100,Evacuate,Evacuate,without
8,self,better,8,120,7,100,Evacuate,Stay,with
8,self,better,8,120,6,100,Evacuate,Stay,without
8,self,better,8,120,7,100,Evacuate,Evacuate,with
8,self,better,8,120,6,100,Evacuate,Evacuate,without
9,self,better,4,120,2,100,Evacuate,Stay,with
9,self,better,4,120,8,100,Evacuate,Stay,without
9,self,better,4,120,2,100,Evacuate,Evacuate,with
9,self,better,4,120,8,100,Evacuate,Evacuate,without
10,self,better,4,120,2,100,Evacuate,Stay,with
10,self,better,4,120,6,100,Evacuate,Stay,without
10,self,better,4,120,2,110,Evacuate,Evacuate,with
10,self,better,4,120,6,110,Evacuate,Evacuate,without
6,self,uncertainty,8,120,16,145,Stay,Stay,with
6,self,uncertainty,8,120,18,140,Evacuate,Stay,without
6,self,uncertainty,8,120,16,145,Stay,Evacuate,with
6,self,uncertainty,8,120,18,145,Evacuate,Evacuate,without
7,self,uncertainty,4,120,14,145,Evacuate,Stay,with
7,self,uncertainty,4,120,16,145,Evacuate,Stay,without
7,self,uncertainty,4,120,14,145,Evacuate,Evacuate,with
7,self,uncertainty,4,120,16,145,Evacuate,Evacuate,without
8,self,uncertainty,4,120,16,140,Stay,Stay,with
8,self,uncertainty,4,120,18,145,Evacuate,Stay,without
8,self,uncertainty,4,120,16,140,Stay,Evacuate,with
8,self,uncertainty,4,120,18,145,Evacuate,Evacuate,without
9,self,uncertainty,8,120,16,145,Stay,Stay,with
9,self,uncertainty,8,120,18,140,Evacuate,Stay,without
9,self,uncertainty,8,120,16,145,Stay,Evacuate,with
9,self,uncertainty,8,120,16,145,Evacuate,Evacuate,without
10,self,uncertainty,4,120,14,145,Evacuate,Stay,with
10,self,uncertainty,4,120,18,145,Evacuate,Stay,without
10,self,uncertainty,4,120,14,145,Evacuate,Evacuate,with
10,self,uncertainty,4,120,18,145,Evacuate,Evacuate,without
6,self,utility,8,120,16,140,Evacuate,Stay,with
6,self,utility,8,120,24,140,Evacuate,Stay,without
6,self,utility,8,120,16,140,Evacuate,Evacuate,with
6,self,utility,8,120,24,160,Evacuate,Evacuate,without
7,self,utility,8,120,16,140,Stay,Stay,with
7,self,utility,8,120,24,160,Evacuate,Stay,without
7,self,utility,8,120,16,140,Stay,Evacuate,with
7,self,utility,8,120,24,160,Evacuate,Evacuate,without
8,self,utility,4,120,12,160,Evacuate,Stay,with
8,self,utility,4,120,24,160,Evacuate,Stay,without
8,self,utility,4,120,16,140,Evacuate,Evacuate,with
8,self,utility,4,120,24,160,Evacuate,Evacuate,without
9,self,utility,8,120,16,140,Evacuate,Stay,with
9,self,utility,8,120,24,160,Evacuate,Stay,without
9,self,utility,8,120,16,140,Evacuate,Evacuate,with
9,self,utility,8,120,24,150,Evacuate,Evacuate,without
10,self,utility,4,120,8,160,Evacuate,Stay,with
10,self,utility,4,120,24,160,Evacuate,Stay,without
10,self,utility,4,120,8,140,Evacuate,Evacuate,with
10,self,utility,4,120,24,140,Evacuate,Evacuate,without
6,roleplay,worse,8,105,16,140,Evacuate,Stay,with
6,roleplay,worse,8,105,24,150,Evacuate,Stay,without
6,roleplay,worse,8,105,16,140,Evacuate,Evacuate,with
6,roleplay,worse,8,105,24,160,Evacuate,Evacuate,without
7,roleplay,worse,12,120,24,140,Evacuate,Stay,with
7,roleplay,worse,12,120,16,140,Evacuate,Stay,without
7,roleplay,worse,12,120,24,140,Evacuate,Evacuate,with
7,roleplay,worse,12,120,24,160,Evacuate,Evacuate,without
8,roleplay,worse,8,135,16,140,Evacuate,Stay,with
